gvel: , 0.0, 0.0, 0.0
lvel: , 0.0, 0.0, 0.0
gvel: , 0.0, 0.0, -0.049
lvel: , 0.0, -0.035, -0.035
gvel: , 0.0, 0.0, -0.098
lvel: , 0.0, -0.069, -0.069
gvel: , 0.0, 0.0, -0.147
lvel: , 0.0, -0.104, -0.104
gvel: , 0.0, 0.0, -0.196
lvel: , 0.0, -0.139, -0.139
gvel: , 0.0, 0.0, -0.245
lvel: , 0.0, -0.173, -0.173
gvel: , 0.0, 0.0, -0.294
lvel: , 0.0, -0.208, -0.208
gvel: , 0.0, 0.115, -0.228
lvel: , -0.0, -0.08, -0.243
gvel: , 0.0, 0.173, -0.22
lvel: , -0.0, -0.033, -0.277
gvel: , 0.0, 0.213, -0.229
lvel: , -0.0, -0.011, -0.312
gvel: , 0.0, 0.245, -0.246
lvel: , -0.0, -0.001, -0.347
gvel: , 0.0, 0.273, -0.267
lvel: , 0.0, 0.004, -0.382
gvel: , 0.0, 0.299, -0.29
lvel: , 0.0, 0.006, -0.416
gvel: , 0.0, 0.324, -0.314
lvel: , 0.0, 0.007, -0.451
gvel: , 0.0, 0.348, -0.338
lvel: , 0.0, 0.007, -0.486
gvel: , 0.0, 0.373, -0.363
lvel: , 0.0, 0.007, -0.52
gvel: , 0.0, 0.397, -0.388
lvel: , 0.0, 0.007, -0.555
gvel: , 0.0, 0.421, -0.412
lvel: , 0.0, 0.006, -0.59
gvel: , 0.0, 0.446, -0.437
lvel: , 0.0, 0.006, -0.624
gvel: , 0.0, 0.47, -0.462
lvel: , 0.0, 0.006, -0.659
gvel: , 0.0, 0.494, -0.487
lvel: , 0.0, 0.005, -0.694
gvel: , 0.0, 0.519, -0.511
lvel: , 0.0, 0.005, -0.728
gvel: , 0.0, 0.543, -0.536
lvel: , 0.0, 0.005, -0.763
gvel: , 0.0, 0.567, -0.561
lvel: , 0.0, 0.004, -0.798
gvel: , 0.0, 0.592, -0.586
lvel: , 0.0, 0.004, -0.832
gvel: , 0.0, 0.616, -0.61
lvel: , 0.0, 0.004, -0.867
gvel: , 0.0, 0.64, -0.635
lvel: , 0.0, 0.004, -0.902
gvel: , 0.0, 0.665, -0.66
lvel: , 0.0, 0.003, -0.936
gvel: , 0.0, 0.689, -0.684
lvel: , 0.0, 0.003, -0.971
gvel: , 0.0, 0.713, -0.709
lvel: , 0.0, 0.003, -1.006
gvel: , 0.0, 0.738, -0.734
lvel: , -0.0, 0.003, -1.041
gvel: , 0.0, 0.762, -0.758
lvel: , -0.0, 0.003, -1.075
gvel: , 0.0, 0.787, -0.783
lvel: , -0.0, 0.002, -1.11
gvel: , 0.0, 0.811, -0.808
lvel: , -0.0, 0.002, -1.145
gvel: , 0.0, 0.836, -0.832
lvel: , -0.0, 0.002, -1.179
gvel: , 0.0, 0.86, -0.857
lvel: , -0.0, 0.002, -1.214
gvel: , 0.0, 0.884, -0.882
lvel: , -0.0, 0.002, -1.249
gvel: , 0.0, 0.909, -0.906
lvel: , -0.0, 0.002, -1.283
gvel: , 0.0, 0.933, -0.931
lvel: , -0.0, 0.002, -1.318
gvel: , 0.0, 0.958, -0.955
lvel: , -0.0, 0.002, -1.353
gvel: , 0.0, 0.982, -0.98
lvel: , -0.0, 0.002, -1.387
gvel: , 0.0, 1.007, -1.004
lvel: , -0.0, 0.001, -1.422
gvel: , 0.0, 1.031, -1.029
lvel: , -0.0, 0.001, -1.457
gvel: , 0.0, 1.055, -1.054
lvel: , -0.0, 0.001, -1.491
gvel: , 0.0, 1.08, -1.078
lvel: , -0.0, 0.001, -1.526
gvel: , 0.0, 1.104, -1.103
lvel: , -0.0, 0.001, -1.561
gvel: , 0.0, 1.129, -1.127
lvel: , -0.0, 0.001, -1.595
gvel: , 0.0, 1.153, -1.152
lvel: , -0.0, 0.001, -1.63
gvel: , 0.0, 1.178, -1.177
lvel: , -0.0, 0.001, -1.665
gvel: , 0.0, 1.202, -1.201
lvel: , -0.0, 0.001, -1.699
gvel: , 0.0, 1.227, -1.226
lvel: , -0.0, 0.001, -1.734
gvel: , 0.0, 1.251, -1.25
lvel: , -0.0, 0.001, -1.769
gvel: , 0.0, 1.276, -1.275
lvel: , -0.0, 0.001, -1.804
gvel: , 0.0, 1.3, -1.299
lvel: , -0.0, 0.001, -1.838
gvel: , 0.0, 1.325, -1.324
lvel: , -0.0, 0.001, -1.873
gvel: , 0.0, 1.349, -1.349
lvel: , -0.0, 0.0, -1.908
gvel: , 0.0, 1.374, -1.373
lvel: , -0.0, 0.0, -1.942
gvel: , 0.0, 1.398, -1.398
lvel: , -0.0, 0.0, -1.977
gvel: , 0.0, 1.423, -1.422
lvel: , -0.0, 0.0, -2.012
gvel: , 0.0, 1.467, -0.761
lvel: , 0.0, 0.42, -1.598
gvel: , 0.0, 1.49, -0.444
lvel: , 0.0, 0.563, -1.449
gvel: , 0.0, 1.5, -0.325
lvel: , 0.0, 0.54, -1.437
gvel: , 0.0, 1.504, -0.314
lvel: , 0.0, 0.417, -1.479
gvel: , 0.0, 1.504, -0.358
lvel: , 0.0, 0.24, -1.527
gvel: , 0.0, 1.504, -0.407
lvel: , 0.0, 0.052, -1.557
gvel: , 0.0, 1.504, -0.456
lvel: , -0.0, -0.139, -1.566
gvel: , 0.0, 1.504, -0.505
lvel: , -0.0, -0.331, -1.552
gvel: , 0.0, 1.504, -0.554
lvel: , -0.0, -0.521, -1.516
gvel: , 0.0, 1.504, -0.603
lvel: , -0.0, -0.707, -1.458
gvel: , 0.0, 1.504, -0.37
lvel: , -0.0, -0.514, -1.461
gvel: , 0.0, 1.504, -0.264
lvel: , -0.0, -0.395, -1.475
gvel: , 0.0, 1.504, -0.037
lvel: , -0.0, -0.156, -1.497
gvel: , 0.0, 1.504, 0.062
lvel: , -0.0, -0.043, -1.505
gvel: , 0.0, 1.504, 0.104
lvel: , -0.0, 0.013, -1.508
gvel: , 0.0, 1.504, 0.115
lvel: , -0.0, 0.036, -1.508
gvel: , 0.0, 1.504, 0.113
lvel: , -0.0, 0.044, -1.508
gvel: , 0.0, 1.504, 0.103
lvel: , -0.0, 0.045, -1.507
gvel: , 0.0, 1.504, 0.092
lvel: , -0.0, 0.043, -1.506
gvel: , 0.0, 1.504, 0.081
lvel: , -0.0, 0.038, -1.506
gvel: , 0.0, 1.504, 0.07
lvel: , -0.0, 0.034, -1.505
gvel: , 0.0, 1.504, 0.061
lvel: , -0.0, 0.03, -1.505
gvel: , 0.0, 1.504, 0.052
lvel: , -0.0, 0.025, -1.505
gvel: , 0.0, 1.504, 0.044
lvel: , -0.0, 0.022, -1.505
gvel: , 0.0, 1.504, 0.038
lvel: , -0.0, 0.018, -1.505
gvel: , 0.0, 1.504, 0.032
lvel: , -0.0, 0.016, -1.504
gvel: , 0.0, 1.504, 0.027
lvel: , -0.0, 0.013, -1.504
gvel: , 0.0, 1.504, 0.023
lvel: , -0.0, 0.011, -1.504
gvel: , 0.0, 1.504, 0.02
lvel: , -0.0, 0.01, -1.504
gvel: , 0.0, 1.504, 0.017
lvel: , -0.0, 0.008, -1.504
gvel: , 0.0, 1.504, 0.014
lvel: , -0.0, 0.007, -1.504
gvel: , 0.0, 1.504, 0.012
lvel: , -0.0, 0.006, -1.504
gvel: , 0.0, 1.504, 0.01
lvel: , -0.0, 0.005, -1.504
gvel: , 0.0, 1.504, 0.009
lvel: , -0.0, 0.004, -1.504
gvel: , 0.0, 1.504, 0.007
lvel: , -0.0, 0.004, -1.504
gvel: , 0.0, 1.504, 0.006
lvel: , -0.0, 0.003, -1.504
gvel: , 0.0, 1.504, 0.005
lvel: , -0.0, 0.003, -1.504
